This is a file with the initial positions:
__________________________________________
Index    Atomic coordinates(x, y, z)
0    -2.519394 -2.519394 -2.519394
1    -1.679596 -1.679596 -2.519394
2    -2.519394 -1.679596 -1.679596
3    -1.679596 -2.519394 -1.679596
4    -0.839798 -2.519394 -2.519394
5    0.0 -1.679596 -2.519394
6    -0.839798 -1.679596 -1.679596
7    0.0 -2.519394 -1.679596
8    0.839798 -2.519394 -2.519394
9    1.679596 -1.679596 -2.519394
10    0.839798 -1.679596 -1.679596
11    1.679596 -2.519394 -1.679596
12    -2.519394 -0.839798 -2.519394
13    -1.679596 0.0 -2.519394
14    -2.519394 0.0 -1.679596
15    -1.679596 -0.839798 -1.679596
16    -0.839798 -0.839798 -2.519394
17    0.0 0.0 -2.519394
18    -0.839798 0.0 -1.679596
19    0.0 -0.839798 -1.679596
20    0.839798 -0.839798 -2.519394
21    1.679596 0.0 -2.519394
22    0.839798 0.0 -1.679596
23    1.679596 -0.839798 -1.679596
24    -2.519394 0.839798 -2.519394
25    -1.679596 1.679596 -2.519394
26    -2.519394 1.679596 -1.679596
27    -1.679596 0.839798 -1.679596
28    -0.839798 0.839798 -2.519394
29    0.0 1.679596 -2.519394
30    -0.839798 1.679596 -1.679596
31    0.0 0.839798 -1.679596
32    0.839798 0.839798 -2.519394
33    1.679596 1.679596 -2.519394
34    0.839798 1.679596 -1.679596
35    1.679596 0.839798 -1.679596
36    -2.519394 -2.519394 -0.839798
37    -1.679596 -1.679596 -0.839798
38    -2.519394 -1.679596 0.0
39    -1.679596 -2.519394 0.0
40    -0.839798 -2.519394 -0.839798
41    0.0 -1.679596 -0.839798
42    -0.839798 -1.679596 0.0
43    0.0 -2.519394 0.0
44    0.839798 -2.519394 -0.839798
45    1.679596 -1.679596 -0.839798
46    0.839798 -1.679596 0.0
47    1.679596 -2.519394 0.0
48    -2.519394 -0.839798 -0.839798
49    -1.679596 0.0 -0.839798
50    -2.519394 0.0 0.0
51    -1.679596 -0.839798 0.0
52    -0.839798 -0.839798 -0.839798
53    0.0 0.0 -0.839798
54    -0.839798 0.0 0.0
55    0.0 -0.839798 0.0
56    0.839798 -0.839798 -0.839798
57    1.679596 0.0 -0.839798
58    0.839798 0.0 0.0
59    1.679596 -0.839798 0.0
60    -2.519394 0.839798 -0.839798
61    -1.679596 1.679596 -0.839798
62    -2.519394 1.679596 0.0
63    -1.679596 0.839798 0.0
64    -0.839798 0.839798 -0.839798
65    0.0 1.679596 -0.839798
66    -0.839798 1.679596 0.0
67    0.0 0.839798 0.0
68    0.839798 0.839798 -0.839798
69    1.679596 1.679596 -0.839798
70    0.839798 1.679596 0.0
71    1.679596 0.839798 0.0
72    -2.519394 -2.519394 0.839798
73    -1.679596 -1.679596 0.839798
74    -2.519394 -1.679596 1.679596
75    -1.679596 -2.519394 1.679596
76    -0.839798 -2.519394 0.839798
77    0.0 -1.679596 0.839798
78    -0.839798 -1.679596 1.679596
79    0.0 -2.519394 1.679596
80    0.839798 -2.519394 0.839798
81    1.679596 -1.679596 0.839798
82    0.839798 -1.679596 1.679596
83    1.679596 -2.519394 1.679596
84    -2.519394 -0.839798 0.839798
85    -1.679596 0.0 0.839798
86    -2.519394 0.0 1.679596
87    -1.679596 -0.839798 1.679596
88    -0.839798 -0.839798 0.839798
89    0.0 0.0 0.839798
90    -0.839798 0.0 1.679596
91    0.0 -0.839798 1.679596
92    0.839798 -0.839798 0.839798
93    1.679596 0.0 0.839798
94    0.839798 0.0 1.679596
95    1.679596 -0.839798 1.679596
96    -2.519394 0.839798 0.839798
97    -1.679596 1.679596 0.839798
98    -2.519394 1.679596 1.679596
99    -1.679596 0.839798 1.679596
100    -0.839798 0.839798 0.839798
101    0.0 1.679596 0.839798
102    -0.839798 1.679596 1.679596
103    0.0 0.839798 1.679596
104    0.839798 0.839798 0.839798
105    1.679596 1.679596 0.839798
106    0.839798 1.679596 1.679596
107    1.679596 0.839798 1.679596
