Atom    Kinetic energy
1         8.646552058390045
2         4.315143313676334e+50
3         7.188201485839969e+32
4         1.5264039674183387e+30
5         1.4157627952635257e+21
6         5.787439253412332e+38
7         3.832934370072687e+43
8         3.0427769208528765e+33
9         2.5154086107552095e+36
10         1.241121044677263e+24
11         5.239311650719394e+36
12         1.2124296637870338e+40
13         361928654051.9546
14         3.5546729283035008e+22
15         5.081687336463713e+23
16         1.0274401856718303e+38
17         9.706313756514382e+28
18         2.5343768521190897e+52
19         3.653805582694067e+32
20         7.462395797853672e+39
21         2.328169358535561e+23
22         2.950684431352564e+29
23         8.02621911196568e+49
24         3.653734782042241e+51
25         22210396304987.902
26         1.1127897824299714e+31
27         1.0427878986969713e+38
28         8.343957887716222e+29
29         2.1394602339341353e+34
30         2.3916399132072646e+26
31         7.227029363299216e+40
32         1.0360477487243407e+45
33         6.016372483174691e+25
34         3.074467277863776e+50
35         5.813335208949915e+52
36         1.6444967578409887e+35
37         941272854609.8271
38         1.8268212758189946e+39
39         1.1775637270231737e+47
40         7.626978120561509e+36
41         8.268666434174407e+18
42         9.964348887758979e+44
43         6.2222143770513e+42
44         1.7488639720940274e+42
45         62114895022022.5
46         1.2353122600798605e+38
47         2.654563408655328e+24
48         5818553880657140.0
49         2.327650488635697e+33
50         9.843109733111887e+33
51         1.0591327574303002e+39
52         1.4910951236661675e+26
53         6.44995175465066e+31
54         2.8330639727656737e+32
55         8.621042416089912e+28
56         5.144085493253937e+44
57         1.500152555920528e+42
58         2.41817460540844e+46
59         7.062241649725798e+20
60         5.501751910109857e+23
61         2.9491486964327125e+19
62         2.250234159286395e+32
63         3.2000399143096666e+17
64         1.7116868651847739e+44
65         3.636837025517153e+25
66         4.936057419968793e+34
67         2.824550783965093e+37
68         2.393893198160949e+30
69         1.6856894822744767e+31
70         5.083900785229225e+58
71         5.3026389700782946e+29
72         6.557261403452915e+36
73         25.59333910760346
74         8.976631726683473e+44
75         1.7877895925835453e+21
76         3.1449023982351483e+27
77         7.540323812998189e+18
78         4.008351619927593e+39
79         7.5043305908719455e+40
80         94357964373161.4
81         282685470325.67163
82         1.9014531436236028e+34
83         1.044116984523998e+33
84         5.901648210439378e+36
85         2290357479267.038
86         8.246391325534002e+33
87         84.03296944224522
88         2.179040849830236e+32
89         1.8378452004136897e+27
90         5.2739337674926405
91         1.0014493594319266e+20
92         2.0566700718530627e+33
93         8.463573550752226e+36
94         4.743965159125097e+27
95         7.51705929206056e+32
96         3.368123477236836e+29
97         19167.634367486822
98         3.8768852758353217e+27
99         1.9793694693605615
100         1.486209831792216e+22
101         4.731847879231767e+47
102         9.080146514817814e+19
103         3.6593697350995486e+25
104         1.2006031979417748
105         1.0286513251795528
106         7.684087789648468e+21
107         1.127771659677314
108         0.8192794441327931
