This is a file with the initial velocities:
___________________________________________
Index    Velocities(v_x, v_y, v_z)
0    0.816619 0.895818 0.445508
1    -0.575069 -0.154206 0.395239
2    0.349547 0.169422 0.34562
3    1.262977 0.09575 0.361768
4    1.359829 -0.780255 0.435723
5    0.292562 0.641667 -0.126204
6    -0.858985 -0.870825 -0.221641
7    -0.283525 -0.298834 -1.379226
8    -0.718828 0.138627 -0.445484
9    -2.231006 0.37825 -0.245872
10    -0.041241 -0.911417 1.835865
11    -0.244892 -1.622719 0.081634
12    0.173841 -0.307738 -1.526975
13    0.884599 -0.000405 0.697516
14    -0.552993 -0.562972 0.02543
15    -0.536201 -0.822759 -0.601571
16    1.17103 0.141522 0.278439
17    -1.456065 0.247854 0.753108
18    0.59692 0.878149 -1.219134
19    -1.091383 0.286103 0.341384
20    1.396429 0.64544 -0.318446
21    -0.403689 -0.130411 -0.857839
22    -1.117965 0.653509 -0.17134
23    -0.915072 -0.262954 0.614926
24    -0.442396 0.22352 0.358786
25    0.727773 0.864675 -0.246525
26    -0.23637 0.026408 0.478191
27    -0.392655 -0.393507 1.030386
28    0.169403 -0.310428 0.379903
29    0.127696 0.791736 -0.103743
30    0.748246 0.553211 -0.416011
31    -0.091982 0.561732 0.207916
32    0.658098 -0.226689 0.624883
33    -0.127547 -0.224718 0.22311
34    -0.427336 -0.338597 0.884565
35    -0.403741 0.919999 0.058595
36    -1.13375 0.102546 -0.354078
37    -0.304247 -1.090971 0.059567
38    1.181502 0.675899 -0.18565
39    -0.547104 0.577568 0.259918
40    -0.790612 -0.810519 0.639321
41    0.568905 -0.49715 -0.21372
42    -1.106988 -0.095661 -0.119298
43    -0.438455 0.937298 0.427349
44    0.832712 -0.149102 0.47137
45    -0.535807 0.494146 0.82662
46    -0.335565 1.332013 -0.079879
47    -0.322039 -0.556072 1.111407
48    0.394569 0.09818 1.005845
49    0.165414 1.032645 -0.318762
50    0.284062 -0.37547 0.738307
51    -2.19438 0.144675 -0.536817
52    -0.59138 1.56427 -0.335389
53    -0.783385 -0.089305 0.130505
54    0.070414 -1.035416 0.163401
55    0.205478 1.52721 -0.173211
56    0.348943 -0.055762 0.49542
57    -0.631808 0.448582 -0.723132
58    -1.401458 1.167656 -0.725031
59    1.499891 -0.015599 -0.449889
60    1.530862 -0.829213 0.573375
61    0.528848 -0.62451 -0.040698
62    -0.227362 -1.708753 0.876816
63    -0.995358 -0.968233 0.461067
64    0.311301 -0.572827 -0.052723
65    -0.858946 0.483611 -0.453288
66    -0.846725 -0.301061 0.434978
67    0.573561 -0.166581 -1.082106
68    1.098741 -0.555149 0.535877
69    0.500398 -0.202159 -0.031455
70    0.880292 -0.432175 -0.501669
71    0.826681 -0.731038 -1.124965
72    0.630429 -0.682363 -1.007107
73    -0.191074 -0.04919 0.10145
74    -0.160266 -1.229972 0.503616
75    0.257973 -0.035713 0.276545
76    -0.329627 -0.764804 -0.557743
77    0.988354 0.111396 -0.625552
78    -0.609556 -0.294894 -0.107469
79    0.476783 -0.208722 0.366288
80    1.435629 0.20559 -0.659143
81    -0.075122 -1.744106 -0.074086
82    1.073523 0.768422 -0.123162
83    0.053956 0.49712 -0.167085
84    0.189345 -0.208104 0.665733
85    0.711098 0.571235 1.010376
86    -1.693641 0.759659 -1.012943
87    0.398505 -0.357798 0.530871
88    -0.66739 -0.231865 -0.632717
89    -0.408317 -0.477059 -0.175273
90    -0.349233 0.523446 -2.318982
91    0.234889 0.726953 -0.17749
92    -0.687216 -1.239708 0.549387
93    -0.864531 0.408128 0.853081
94    -0.402122 0.1661 0.568977
95    0.882285 -0.073132 0.51731
96    -0.606935 0.277202 -0.579518
97    -0.188589 0.41793 0.890138
98    1.198932 0.604041 0.269297
99    -0.190682 -1.142328 -0.976377
100    0.448166 1.662521 -0.227843
101    0.098546 0.499604 0.116165
102    -0.355696 0.94889 -1.274963
103    -0.611761 -0.592091 -0.48162
104    1.21158 0.496001 -0.657196
105    1.307906 0.422217 0.131609
106    0.923504 -0.796743 0.87629
107    0.526518 0.444607 -1.078732
