Atom    Potential energy
1         -0.0012918869475455617
2         -1.3169058357533882e-74
3         -4.8372013123263175e-48
4         -3.660771980473335e-44
5         -1.2829239094098578e-30
6         -8.654089702264965e-57
7         -6.330226839976582e-64
8         -3.701594033920125e-49
9         -1.9033746629745267e-53
10         -4.044038269546904e-35
11         -6.863577344662894e-54
12         -6.084523911241284e-59
13         -2.568012671478727e-16
14         -8.343283409242056e-33
15         -2.229592004944098e-34
16         -1.019135033540479e-55
17         -2.580307631297408e-42
18         -1.3184604902651626e-76
19         -8.77644698520157e-47
20         -7.765278187898587e-58
21         -6.6367177696746745e-34
22         -3.984652138976516e-43
23         -2.160948813347977e-73
24         -3.376164112273198e-76
25         -5.341955887292423e-19
26         -2.182415403044794e-45
27         -1.288404524861665e-55
28         -9.093062281371797e-44
29         -1.0606113287980049e-47
30         -1.6797717298051177e-38
31         -4.242188098386702e-60
32         -5.66311318962913e-64
33         -1.4644837852208212e-37
34         -8.079068109663168e-74
35         -2.0390270235222857e-77
36         -1.6414101838546467e-51
37         -6.803347981203676e-17
38         -1.6723389163580366e-57
39         -6.633904643793275e-69
40         -3.255176079062785e-54
41         -2.3517072436260987e-27
42         -1.5854828338368827e-65
43         -7.404589910417468e-63
44         -5.642841418763872e-62
45         -1.396025690014553e-19
46         -6.800743255645875e-56
47         -1.1491964832721959e-35
48         -1.8197627200657288e-22
49         -6.640414461264359e-49
50         -1.0586322285786348e-47
51         -1.8047720588425316e-57
52         -3.412211418030199e-38
53         -1.3193254579728713e-46
54         -7.133527858085287e-46
55         -3.5848724243645656e-42
56         -5.862331549107564e-66
57         -7.884189408297421e-62
58         -4.6099211715504806e-68
59         -4.303516262669432e-30
60         -1.5224479454007287e-34
61         -3.8792605679487184e-28
62         -1.8421572926368504e-47
63         -3.0888965310795657e-25
64         -6.1035345752176394e-65
65         -3.3992995995468417e-37
66         -2.2088272401889184e-50
67         -1.2150720098158363e-54
68         -1.8598937044731206e-44
69         -1.1698719912490236e-45
70         -1.4091969839716757e-86
71         -1.608999347505492e-43
72         -2.742047193099776e-51
73         -0.09360753283347523
74         -6.707169990344397e-66
75         -7.397106286881958e-31
76         -3.047850585150299e-39
77         -2.400484731510527e-27
78         -6.398997300358287e-58
79         -6.355710912322613e-60
80         -7.456229595577601e-20
81         -3.307027253388603e-16
82         -9.08671673031235e-50
83         -3.543813286388939e-48
84         -3.952575526433638e-54
85         -1.4339380679384884e-17
86         -1.2446015789239483e-49
87         -7.208986491989227e-08
88         -2.704107387288397e-47
89         -8.674076524161184e-40
90         0.0
91         0.0
92         0.0
93         0.0
94         0.0
95         0.0
96         0.0
97         0.0
98         0.0
99         0.0
100         0.0
101         0.0
102         0.0
103         0.0
104         0.0
105         0.0
106         0.0
107         0.0
108         0.0
