Atom    Potential energy
1         -0.17293604019611425
2         -1.210226869202219e-71
3         -9.101882756169262e-46
4         -9.323887016532787e-42
5         -5.48750346516965e-29
6         -1.2597436736016195e-54
7         -7.391196093023815e-62
8         -1.0450349837924112e-46
9         -4.3964265869133793e-51
10         -9.045925818205055e-33
11         -1.4625173719153292e-51
12         -1.3137931127401506e-56
13         -1.3426870083902345e-14
14         -4.1559498090189794e-30
15         -3.6170572328550004e-32
16         -1.6841358026879847e-53
17         -5.859504414142201e-40
18         -2.681733626569885e-74
19         -2.5116753801664076e-45
20         -2.7207860647408665e-56
21         -1.2555071045197262e-31
22         -1.100607265436593e-40
23         -1.515591340998823e-70
24         -4.9021233040944145e-73
25         -2.7926972109160974e-17
26         -4.729262888926301e-43
27         -1.647092371021796e-53
28         -2.3090404143370196e-41
29         -5.604857771048785e-48
30         -7.468724078288474e-36
31         -9.027595159097735e-58
32         -5.259471933468645e-64
33         -6.190029710582343e-34
34         -2.0135531920684784e-71
35         -7.718442570349551e-75
36         -2.6300594041754416e-49
37         -3.201522714694505e-15
38         -2.246299905054678e-55
39         -4.3404541177978946e-67
40         -8.326903494427348e-52
41         -1.2294400383159595e-25
42         -5.576200883812912e-64
43         -1.1300413737955793e-60
44         -7.583640781095487e-60
45         -5.971406385807539e-18
46         -1.277458473790867e-53
47         -2.825502982513641e-33
48         -6.586261803647202e-21
49         -1.5619344937267941e-46
50         -1.7960844918898601e-47
51         -5.0884585294383215e-55
52         -2.0561435185272556e-35
53         -3.3872207654142775e-44
54         -3.678803337166498e-45
55         -7.00459588834265e-40
56         -1.5033134124221683e-63
57         -9.54571932548331e-60
58         -4.6642338319290034e-66
59         -1.5575668315035788e-28
60         -3.1936175064055153e-32
61         -1.8252214206089395e-26
62         -5.197078362686972e-45
63         -1.6148323910379395e-23
64         -7.83204766528454e-63
65         -5.391172471291633e-35
66         -1.5993646838355507e-48
67         -1.1683903697796263e-52
68         -4.7448566085995506e-42
69         -2.5361289790999823e-43
70         -9.435540541499228e-84
71         -4.561765947980988e-41
72         -1.0445484153453785e-51
73         -0.46666930179955723
74         -6.521412724425251e-64
75         -3.867104800432423e-29
76         -1.063041515733173e-37
77         -1.411807764929754e-25
78         -6.911353433389186e-56
79         -8.531862876709824e-58
80         -3.1893468193292902e-18
81         -1.9456893441515368e-14
82         -6.689490434030737e-48
83         -5.199114436778148e-46
84         -1.2233546328652112e-51
85         -8.434329210392377e-16
86         -2.3422356569700126e-47
87         -102.74024609178265
88         -5.453862956694282e-45
89         -2.443203714471358e-37
90         -0.13351245434719794
91         -2.9168699479772146e-27
92         -1.8805907409744143e-46
93         -7.123305961454755e-52
94         -5.655735709801959e-38
95         -8.511155674631525e-46
96         -9.02134458087037e-41
97         -0.003028488094661526
98         -7.706063997921535e-38
99         -1.0927667597430404
100         -7.758971862956199e-29
101         -5.3884720853126024e-68
102         -3.378479346486657e-27
103         -5.341266419182043e-35
104         -2.0434070237170405
105         -0.6366547946822659
106         -4.33982354825819e-30
107         0.0
108         0.0
